accession,status,fasta,size_bytes,message
GCA_008423335.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423335.1/GCA_008423335.1_genomic.fna,2790651,
GCA_008423295.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423295.1/GCA_008423295.1_genomic.fna,3029407,
GCA_008423375.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423375.1/GCA_008423375.1_genomic.fna,2987147,
GCA_008671835.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008671835.1/GCA_008671835.1_genomic.fna,2629799,
GCA_008423245.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423245.1/GCA_008423245.1_genomic.fna,2921112,
GCA_004015325.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_004015325.1/GCA_004015325.1_genomic.fna,2758321,
GCA_008672035.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008672035.1/GCA_008672035.1_genomic.fna,2634223,
GCA_009731575.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_009731575.1/GCA_009731575.1_genomic.fna,2914593,
GCA_008423445.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423445.1/GCA_008423445.1_genomic.fna,2796326,
GCA_008423455.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423455.1/GCA_008423455.1_genomic.fna,2794216,
GCA_008423365.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423365.1/GCA_008423365.1_genomic.fna,2799501,
GCA_008423405.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423405.1/GCA_008423405.1_genomic.fna,2793707,
GCA_014848715.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014848715.1/GCA_014848715.1_genomic.fna,2939234,
GCA_014848885.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014848885.1/GCA_014848885.1_genomic.fna,3095189,
GCA_010231335.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_010231335.1/GCA_010231335.1_genomic.fna,3196102,
GCA_008423185.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423185.1/GCA_008423185.1_genomic.fna,2812359,
GCA_008423325.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423325.1/GCA_008423325.1_genomic.fna,2793222,
GCA_014872035.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014872035.1/GCA_014872035.1_genomic.fna,2855363,
GCA_014871965.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014871965.1/GCA_014871965.1_genomic.fna,2854184,
GCA_008423265.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423265.1/GCA_008423265.1_genomic.fna,2925824,
GCA_014872065.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014872065.1/GCA_014872065.1_genomic.fna,2880578,
GCA_014871995.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014871995.1/GCA_014871995.1_genomic.fna,2761219,
GCA_014872005.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014872005.1/GCA_014872005.1_genomic.fna,2672323,
GCA_008672205.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008672205.1/GCA_008672205.1_genomic.fna,2643020,
GCA_014872105.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014872105.1/GCA_014872105.1_genomic.fna,2756690,
GCA_014872075.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014872075.1/GCA_014872075.1_genomic.fna,2731141,
GCA_008423385.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_008423385.1/GCA_008423385.1_genomic.fna,2798869,
GCA_014871935.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014871935.1/GCA_014871935.1_genomic.fna,2562501,
GCA_017570525.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_017570525.1/GCA_017570525.1_genomic.fna,2879688,
GCA_014872165.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014872165.1/GCA_014872165.1_genomic.fna,3069452,
GCA_017570425.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_017570425.1/GCA_017570425.1_genomic.fna,2879691,
GCA_018140615.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018140615.1/GCA_018140615.1_genomic.fna,2697441,
GCA_018709725.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709725.1/GCA_018709725.1_genomic.fna,3194126,
GCA_017570485.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_017570485.1/GCA_017570485.1_genomic.fna,2879668,
GCA_018709665.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709665.1/GCA_018709665.1_genomic.fna,2986255,
GCA_018372795.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018372795.1/GCA_018372795.1_genomic.fna,2777260,
GCA_018375855.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018375855.1/GCA_018375855.1_genomic.fna,2936319,
GCA_018709805.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709805.1/GCA_018709805.1_genomic.fna,3039915,
GCA_017570505.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_017570505.1/GCA_017570505.1_genomic.fna,2879694,
GCA_014872125.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014872125.1/GCA_014872125.1_genomic.fna,2792371,
GCA_014170075.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_014170075.1/GCA_014170075.1_genomic.fna,3042557,
GCA_018709865.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709865.1/GCA_018709865.1_genomic.fna,2911908,
GCA_018709785.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709785.1/GCA_018709785.1_genomic.fna,2874032,
GCA_018709675.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709675.1/GCA_018709675.1_genomic.fna,3045729,
GCA_018709765.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709765.1/GCA_018709765.1_genomic.fna,3071704,
GCA_018779665.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018779665.1/GCA_018779665.1_genomic.fna,3335073,
GCA_018779675.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018779675.1/GCA_018779675.1_genomic.fna,2869795,
GCA_018709815.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709815.1/GCA_018709815.1_genomic.fna,2846054,
GCA_018779715.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018779715.1/GCA_018779715.1_genomic.fna,3309532,
GCA_018779705.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018779705.1/GCA_018779705.1_genomic.fna,3282754,
GCA_018779745.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018779745.1/GCA_018779745.1_genomic.fna,3335677,
GCA_018847055.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847055.1/GCA_018847055.1_genomic.fna,2796016,
GCA_018847035.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847035.1/GCA_018847035.1_genomic.fna,3164980,
GCA_018709685.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709685.1/GCA_018709685.1_genomic.fna,2901932,
GCA_018709825.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709825.1/GCA_018709825.1_genomic.fna,3198552,
GCA_018847095.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847095.1/GCA_018847095.1_genomic.fna,3158661,
GCA_018779765.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018779765.1/GCA_018779765.1_genomic.fna,3037789,
GCA_018847075.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847075.1/GCA_018847075.1_genomic.fna,3158644,
GCA_018847195.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847195.1/GCA_018847195.1_genomic.fna,3351157,
GCA_018847175.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847175.1/GCA_018847175.1_genomic.fna,2838414,
GCA_018846995.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018846995.1/GCA_018846995.1_genomic.fna,3202673,
GCA_018847015.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847015.1/GCA_018847015.1_genomic.fna,3214381,
GCA_018709735.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018709735.1/GCA_018709735.1_genomic.fna,3134156,
GCA_018847335.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847335.1/GCA_018847335.1_genomic.fna,3040307,
GCA_018847375.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847375.1/GCA_018847375.1_genomic.fna,3087273,
GCA_018847275.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847275.1/GCA_018847275.1_genomic.fna,3040332,
GCA_018847235.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847235.1/GCA_018847235.1_genomic.fna,2758437,
GCA_018847215.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847215.1/GCA_018847215.1_genomic.fna,2979020,
GCA_018847395.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847395.1/GCA_018847395.1_genomic.fna,3002618,
GCA_018847475.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847475.1/GCA_018847475.1_genomic.fna,2838809,
GCA_018847255.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847255.1/GCA_018847255.1_genomic.fna,3040354,
GCA_018847415.1,ok,/fh/fast/hill_g/Albert/Collaboration-Microbiome/blast_results/Akkermansia_muciniphila/GCA_018847415.1/GCA_018847415.1_genomic.fna,3158647,
